name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
Alcazaba,6,13,7,11,2021,186,378,0.51
San Juan De La Cruz,6,13,7,11,2021,219,487,0.55
Pz. de la Marina,6,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,6,13,7,11,2021,95,187,0.49
Salitre,5,13,7,11,2021,254,435,0.42
Cervantes,5,13,7,11,2021,308,409,0.25
El Palo,5,13,7,11,2021,75,127,0.41
Av. de Andalucía,5,13,7,11,2021,504,613,0.18
Camas,5,13,7,11,2021,214,350,0.39
Cruz De Humilladero,5,13,7,11,2021,100,217,0.54
Alcazaba,5,13,7,11,2021,186,378,0.51
San Juan De La Cruz,5,13,7,11,2021,219,487,0.55
Pz. de la Marina,5,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,5,13,7,11,2021,104,187,0.44
Salitre,4,13,7,11,2021,252,435,0.42
Cervantes,4,13,7,11,2021,308,409,0.25
El Palo,4,13,7,11,2021,76,127,0.4
Av. de Andalucía,4,13,7,11,2021,503,613,0.18
Camas,4,13,7,11,2021,214,350,0.39
Cruz De Humilladero,4,13,7,11,2021,100,217,0.54
Alcazaba,4,13,7,11,2021,186,378,0.51
San Juan De La Cruz,4,13,7,11,2021,220,487,0.55
Pz. de la Marina,4,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,4,13,7,11,2021,104,187,0.44
Salitre,3,13,7,11,2021,252,435,0.42
Cervantes,3,13,7,11,2021,308,409,0.25
El Palo,3,13,7,11,2021,76,127,0.4
Av. de Andalucía,3,13,7,11,2021,503,613,0.18
Camas,3,13,7,11,2021,214,350,0.39
Cruz De Humilladero,3,13,7,11,2021,100,217,0.54
Alcazaba,3,13,7,11,2021,186,378,0.51
San Juan De La Cruz,3,13,7,11,2021,220,487,0.55
Pz. de la Marina,3,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,3,13,7,11,2021,92,187,0.51
Salitre,2,13,7,11,2021,249,435,0.43
Cervantes,2,13,7,11,2021,308,409,0.25
El Palo,2,13,7,11,2021,53,127,0.58
Av. de Andalucía,2,13,7,11,2021,503,613,0.18
Camas,2,13,7,11,2021,214,350,0.39
Cruz De Humilladero,2,13,7,11,2021,100,217,0.54
Alcazaba,2,13,7,11,2021,186,378,0.51
San Juan De La Cruz,2,13,7,11,2021,220,487,0.55
Pz. de la Marina,2,13,7,11,2021,10,430,0.98
Tejón y Rodriguez,2,13,7,11,2021,68,187,0.64
Salitre,1,13,7,11,2021,244,435,0.44
Cervantes,1,13,7,11,2021,307,409,0.25
El Palo,1,13,7,11,2021,55,127,0.57
Av. de Andalucía,1,13,7,11,2021,496,613,0.19
Camas,1,13,7,11,2021,214,350,0.39
Cruz De Humilladero,1,13,7,11,2021,100,217,0.54
Alcazaba,1,13,7,11,2021,186,378,0.51
San Juan De La Cruz,1,13,7,11,2021,220,487,0.55
Pz. de la Marina,1,13,7,11,2021,10,430,0.98
Tejón y Rodriguez,1,13,7,11,2021,60,187,0.68
Salitre,0,13,7,11,2021,244,435,0.44
Cervantes,0,13,7,11,2021,221,409,0.46
El Palo,0,13,7,11,2021,55,127,0.57
Av. de Andalucía,0,13,7,11,2021,491,613,0.2
Camas,0,13,7,11,2021,214,350,0.39
Cruz De Humilladero,0,13,7,11,2021,72,217,0.67
Alcazaba,0,13,7,11,2021,186,378,0.51
